iter	Passed	Remaining
0	21	20979
1	35	17936
2	51	17208
3	69	17337
4	87	17451
5	104	17249
6	120	17117
7	136	16970
8	153	16883
9	172	17083
10	192	17301
11	209	17243
12	226	17211
13	243	17115
14	258	16984
15	282	17399
16	302	17508
17	321	17521
18	336	17391
19	353	17327
20	375	17486
21	393	17515
22	409	17375
23	426	17360
24	441	17231
25	458	17185
26	482	17399
27	501	17404
28	519	17392
29	537	17392
30	554	17325
31	573	17338
32	588	17246
33	605	17206
34	621	17139
35	638	17086
36	652	16989
37	669	16951
38	687	16930
39	705	16939
40	723	16915
41	738	16833
42	757	16854
43	777	16897
44	794	16861
45	815	16908
46	832	16871
47	847	16809
48	865	16798
49	883	16793
50	899	16739
51	917	16721
52	931	16642
53	951	16672
54	971	16684
55	990	16703
56	1008	16677
57	1024	16635
58	1037	16553
59	1051	16480
60	1072	16503
61	1094	16554
62	1111	16533
63	1130	16538
64	1146	16490
65	1163	16469
66	1180	16438
67	1196	16396
68	1211	16346
69	1227	16311
70	1244	16283
71	1264	16296
72	1283	16293
73	1299	16257
74	1316	16240
75	1331	16187
76	1346	16144
77	1366	16149
78	1383	16134
79	1400	16104
80	1414	16050
81	1430	16014
82	1445	15975
83	1466	15993
84	1481	15952
85	1496	15905
86	1514	15892
87	1532	15887
88	1545	15820
89	1564	15817
90	1587	15853
91	1604	15832
92	1617	15770
93	1632	15738
94	1653	15751
95	1670	15732
96	1689	15729
97	1707	15711
98	1723	15688
99	1737	15636
100	1757	15646
101	1774	15623
102	1794	15631
103	1813	15622
104	1828	15587
105	1845	15566
106	1866	15577
107	1885	15574
108	1902	15551
109	1918	15520
110	1935	15499
111	1956	15514
112	1977	15523
113	1992	15488
114	2009	15465
115	2023	15423
116	2039	15393
117	2057	15377
118	2075	15367
119	2091	15338
120	2108	15314
121	2126	15307
122	2145	15298
123	2164	15293
124	2183	15286
125	2200	15267
126	2215	15228
127	2230	15195
128	2247	15176
129	2266	15171
130	2282	15140
131	2298	15113
