iter	MultiClass
0	0.9775332327
1	0.885750748
2	0.8114344932
3	0.7494338263
4	0.6974209457
5	0.6535685362
6	0.6161948043
7	0.5822222729
8	0.5538833605
9	0.5285050778
10	0.5055295689
11	0.485565129
12	0.4676032982
13	0.4518054836
14	0.4376634066
15	0.424470714
16	0.412491443
17	0.4020122597
18	0.3919443109
19	0.3833722955
20	0.3758917263
21	0.3685688364
22	0.3628140917
23	0.3562755488
24	0.3505209697
25	0.3455152347
26	0.3400818769
27	0.3359931626
28	0.3313682897
29	0.3274997287
30	0.3237763517
31	0.3208987357
32	0.31805859
33	0.3148671372
34	0.3120038218
35	0.3093396085
36	0.3072756164
37	0.3057957166
38	0.3040168546
39	0.301303617
40	0.2990306756
41	0.2976477595
42	0.2955228181
43	0.2932141914
44	0.2917688811
45	0.289876411
46	0.2883925798
47	0.28694718
48	0.2858556415
49	0.2838835455
50	0.2828518975
51	0.2816424599
52	0.2807503409
53	0.2789779365
54	0.2778724701
55	0.2762788972
56	0.275189345
57	0.2738934007
58	0.273209736
59	0.2725241462
60	0.2716691113
61	0.2708410048
62	0.2700791962
63	0.2690283503
64	0.2679302531
65	0.2671735388
66	0.2666248885
67	0.265563842
68	0.2647892823
69	0.2638970185
70	0.2632735338
71	0.2623956069
72	0.2617986617
73	0.2609491526
74	0.2602995415
75	0.2597057477
76	0.2590715136
77	0.2583978969
78	0.2577517867
79	0.257249107
80	0.256858314
81	0.2562344604
82	0.2558009674
83	0.2552641606
84	0.2548412149
85	0.2544542475
86	0.2537009467
87	0.2530825204
88	0.2526069734
89	0.2518362827
90	0.251169642
91	0.2505598776
92	0.2502985383
93	0.2499570004
94	0.2495097227
95	0.249071324
96	0.2483113214
97	0.2478414087
98	0.2475367667
99	0.2472829653
100	0.2469096576
101	0.2465368306
102	0.2461283811
103	0.2457255552
104	0.2451444309
105	0.2448450408
106	0.2445299077
107	0.2441180447
108	0.2437175173
109	0.2433665757
110	0.2430861719
111	0.2425881962
112	0.2422066186
113	0.2419506172
114	0.2414893462
115	0.2412375988
116	0.2408464385
117	0.2403920566
118	0.240041446
119	0.239783381
120	0.2393604737
121	0.2390318449
122	0.2387807362
123	0.2385653949
124	0.2381379166
125	0.2378255097
126	0.2376620847
127	0.2371879183
128	0.2369416234
129	0.2366735286
130	0.2364914546
131	0.2362920414
