iter	Passed	Remaining
0	227	227057
1	492	245937
2	607	202056
3	804	200424
4	1044	207856
5	1160	192278
6	1343	190653
7	1509	187179
8	1648	181566
9	1970	195054
10	2185	196513
11	2345	193118
12	2606	197927
13	2765	194791
14	2990	196379
15	3153	193967
16	3393	196249
17	3657	199515
18	3923	202583
19	4177	204694
20	4298	200403
21	4453	197975
22	4592	195065
23	4892	198963
24	5121	199726
25	5274	197606
26	5534	199432
27	5728	198846
28	5831	195268
29	5942	192155
30	6169	192833
31	6301	190610
32	6487	190104
33	6740	191501
34	6946	191526
35	7120	190673
36	7285	189618
37	7494	189728
38	7777	191654
39	8178	196275
40	8404	196583
41	8565	195371
42	8798	195816
43	8989	195318
44	9263	196592
45	9555	198179
46	9722	197144
47	9927	196889
48	10064	195333
49	10365	196937
50	10509	195554
51	10740	195800
52	10846	193808
53	10991	192549
54	11162	191796
55	11357	191448
56	11524	190653
57	11619	188717
58	11761	187581
59	11945	187147
60	12175	187425
61	12309	186225
62	12385	184213
63	12580	183989
64	12676	182345
65	12804	181207
66	13043	181641
67	13230	181331
68	13338	179967
69	13386	177846
70	13609	178077
71	13807	177965
72	14020	178038
73	14164	177246
74	14406	177683
75	14601	177524
76	14720	176457
77	14887	175975
78	15064	175622
79	15154	174271
80	15326	173890
81	15522	173778
82	15730	173796
83	15895	173339
84	16027	172533
85	16219	172383
86	16357	171654
87	16629	172344
88	16765	171607
89	17072	172622
90	17375	173566
91	17635	174058
92	17702	172644
93	17969	173190
94	18132	172738
95	18271	172052
96	18464	171890
97	18655	171709
98	18854	171597
99	18970	170731
100	19128	170261
101	19224	169254
102	19475	169611
103	19692	169655
104	19912	169729
105	20071	169280
106	20177	168399
107	20386	168377
108	20516	167707
109	20654	167111
110	20903	167417
111	21109	167369
112	21283	167069
113	21455	166751
114	21574	166030
115	21656	165040
116	21869	165052
117	21999	164438
118	22156	164032
119	22341	163840
120	22504	163483
121	22820	164230
122	22943	163591
123	23074	163013
124	23220	162543
125	23384	162207
126	23533	161768
127	23675	161286
128	23877	161222
129	23999	160614
