iter	MultiClass
0	0.977241403
1	0.8830961857
2	0.8093986741
3	0.7476658349
4	0.6954335674
5	0.650999959
6	0.6126775321
7	0.5799784335
8	0.5513572021
9	0.5257999269
10	0.5036092361
11	0.4837455219
12	0.4658675836
13	0.4498490876
14	0.4356083689
15	0.4225672686
16	0.4114537311
17	0.4008000078
18	0.3911324378
19	0.382195874
20	0.3737663265
21	0.3671686297
22	0.360168071
23	0.3540593792
24	0.3492288992
25	0.3438100532
26	0.3388264107
27	0.3348730703
28	0.3304311207
29	0.3265569115
30	0.3228641961
31	0.319479673
32	0.3166669554
33	0.3137250381
34	0.3116272671
35	0.3086604327
36	0.3057051168
37	0.3041404964
38	0.3015326488
39	0.2998797164
40	0.296903871
41	0.2947176159
42	0.2933350458
43	0.2915098763
44	0.2902715938
45	0.2882370833
46	0.2872955257
47	0.2858518159
48	0.2850078665
49	0.2836935575
50	0.2824246208
51	0.2812462366
52	0.2800516736
53	0.2789231009
54	0.2777813871
55	0.277014762
56	0.2759951108
57	0.274821723
58	0.2735688823
59	0.272397112
60	0.2715710744
61	0.2704137651
62	0.2697345221
63	0.2685971389
64	0.2675051851
65	0.2667046854
66	0.2661623516
67	0.2655970266
68	0.2648152494
69	0.264091706
70	0.2635089688
71	0.2630449938
72	0.2621393296
73	0.2611050794
74	0.2603392386
75	0.2596239275
76	0.2588415441
77	0.2577012745
78	0.2571320502
79	0.2566447958
80	0.2560503022
81	0.2556838295
82	0.2550837183
83	0.2544187783
84	0.253952096
85	0.2534215032
86	0.2530430564
87	0.2523829444
88	0.2519408778
89	0.2515053271
90	0.2509804166
91	0.2505017042
92	0.2501916206
93	0.2498308378
94	0.2493655519
95	0.248919233
96	0.24866236
97	0.2483008394
98	0.2476580099
99	0.2470241915
100	0.2465524623
101	0.2462268568
102	0.2458587571
103	0.2454159731
104	0.2450241543
105	0.2446358959
106	0.2442305453
107	0.2439158187
108	0.2436101432
109	0.2429899767
110	0.2427076802
111	0.2420191966
112	0.2416414841
113	0.2413149872
114	0.2407963236
115	0.240420968
116	0.2400916252
117	0.2398724266
118	0.2395785388
119	0.2392976036
120	0.2389544553
121	0.2383878233
122	0.2380668749
123	0.2376054938
124	0.2372145648
125	0.2369477931
126	0.2364992076
127	0.2363031465
128	0.2359842651
129	0.2356575864
130	0.23543672
131	0.235163658
132	0.2349924885
133	0.2345940268
134	0.2342424057
135	0.234028385
136	0.233864187
137	0.2336315615
138	0.2334894891
