iter	Passed	Remaining
0	64	64221
1	83	41769
2	102	33898
3	121	30338
4	141	28062
5	158	26273
6	176	25003
7	192	23923
8	209	23029
9	227	22489
10	245	22097
11	266	21947
12	287	21796
13	306	21604
14	324	21298
15	340	20969
16	355	20571
17	372	20341
18	390	20139
19	404	19816
20	419	19572
21	434	19316
22	451	19198
23	469	19106
24	489	19078
25	506	18977
26	523	18876
27	538	18679
28	555	18609
29	576	18624
30	593	18561
31	609	18437
32	624	18299
33	641	18234
34	657	18133
35	679	18203
36	698	18168
37	711	18022
38	730	17999
39	745	17898
40	763	17848
41	781	17834
42	797	17757
43	814	17696
44	828	17592
45	846	17561
46	860	17453
47	878	17430
48	894	17365
49	910	17300
50	925	17213
51	940	17146
52	957	17106
53	973	17060
54	989	17008
55	1004	16934
56	1022	16910
57	1037	16857
58	1055	16830
59	1074	16829
60	1091	16796
61	1110	16802
62	1125	16744
63	1144	16732
64	1162	16724
65	1184	16758
66	1198	16688
67	1216	16668
68	1231	16614
69	1247	16574
70	1263	16537
71	1279	16490
72	1295	16447
73	1312	16424
74	1330	16414
75	1348	16391
76	1363	16347
77	1381	16328
78	1395	16273
79	1411	16234
80	1427	16196
81	1441	16142
82	1458	16109
83	1476	16098
84	1490	16042
85	1506	16014
86	1520	15954
87	1538	15944
88	1555	15923
89	1572	15895
90	1587	15859
91	1603	15826
92	1617	15773
93	1631	15725
94	1648	15701
95	1665	15683
96	1679	15632
97	1695	15608
98	1712	15588
99	1727	15551
100	1746	15549
101	1767	15557
102	1782	15522
103	1797	15487
104	1813	15457
105	1830	15437
106	1848	15423
107	1863	15392
108	1877	15345
109	1894	15329
110	1907	15279
111	1924	15258
112	1943	15251
113	1956	15206
114	1973	15189
115	1989	15163
116	2003	15119
117	2016	15075
118	2031	15038
119	2044	14995
120	2060	14970
121	2077	14954
122	2095	14937
123	2114	14936
124	2131	14923
125	2148	14906
126	2165	14888
127	2183	14872
128	2198	14843
129	2212	14809
130	2228	14781
131	2243	14753
132	2259	14732
133	2277	14715
