iter	Logloss
0	0.6885291503
1	0.683837153
2	0.6790995614
3	0.6751814293
4	0.670779742
5	0.6670685053
6	0.663285431
7	0.6593766417
8	0.6550355631
9	0.6517887054
10	0.6471813171
11	0.6432292169
12	0.6399234232
13	0.6359894493
14	0.632402575
15	0.6290796059
16	0.6261914465
17	0.6224645076
18	0.6194891576
19	0.6161398449
20	0.61260541
21	0.6090910175
22	0.606645815
23	0.604089862
24	0.6011327366
25	0.5981171104
26	0.5948579614
27	0.592506593
28	0.5887914548
29	0.5858664182
30	0.5831142348
31	0.5809700215
32	0.5782900442
33	0.5759181122
34	0.5736830568
35	0.5707441245
36	0.5682103077
37	0.5657567632
38	0.5629219049
39	0.5604286405
40	0.558383872
41	0.5559054814
42	0.5535886078
43	0.5511870447
44	0.5484873008
45	0.5456036459
46	0.5436360279
47	0.5410373843
48	0.5385938493
49	0.5359503716
50	0.5337169515
51	0.5313141337
52	0.5291200725
53	0.5274018646
54	0.5252687869
55	0.5229792496
56	0.5210173539
57	0.5184546367
58	0.5159717902
59	0.5142522274
60	0.5124356716
61	0.5109414289
62	0.5087389833
63	0.5072529338
64	0.5057619643
65	0.5041922308
66	0.5021579567
67	0.5004930672
68	0.498628526
69	0.4966379099
70	0.494886994
71	0.4929467274
72	0.4915212117
73	0.4899771751
74	0.4879388775
75	0.4860204395
76	0.4841035683
77	0.4822871776
78	0.4803052877
79	0.4788209828
80	0.4770639072
81	0.4753247119
82	0.4735438531
83	0.471933968
84	0.4708080031
85	0.4694041782
86	0.4676508921
87	0.4657258991
88	0.4645033032
89	0.4634125747
90	0.4620673895
91	0.4607296299
92	0.4595233089
93	0.4583732327
94	0.4569204683
95	0.4558561719
96	0.4543310785
97	0.4531450922
98	0.4513796236
99	0.4498766099
100	0.4486840199
101	0.4479209306
102	0.446134763
103	0.4453190077
104	0.4440931268
105	0.442743249
106	0.4415389189
107	0.4404901769
108	0.4389477894
109	0.4381759872
110	0.4373179291
111	0.4365236945
112	0.4353602935
113	0.4345240257
114	0.4334866136
115	0.4324190195
116	0.4315088299
117	0.4302701968
118	0.4290955108
119	0.428060452
120	0.4267649007
121	0.4253659666
122	0.42400699
123	0.4230500602
124	0.4218729236
125	0.4205486181
126	0.4195993708
127	0.4186494915
128	0.4175090944
129	0.4164765617
130	0.4154081778
131	0.4145437392
132	0.4136476693
133	0.4124110322
134	0.4114104412
135	0.4104481115
136	0.4097219494
137	0.4091158352
138	0.4084619061
139	0.407676948
140	0.4066392322
141	0.4052410125
142	0.4042829212
143	0.4031670415
144	0.4022680977
145	0.4014231067
146	0.4008224008
147	0.3995180875
148	0.398629983
149	0.3978656274
150	0.3967231675
151	0.395912277
152	0.3950269063
153	0.3944057718
154	0.3931857034
155	0.3922795995
156	0.3913227684
157	0.3904058095
158	0.3896372392
159	0.3888232045
160	0.3879207826
161	0.3873199045
162	0.3868303466
163	0.3862685447
164	0.385283688
165	0.3848242827
166	0.3838243549
167	0.3833014483
168	0.3826414237
169	0.3818841358
170	0.3814267735
171	0.3807757785
172	0.3802173558
173	0.3794380015
174	0.378829611
175	0.3780396981
176	0.3774895667
177	0.3765431921
178	0.3759203947
179	0.3752421219
180	0.37463983
181	0.3741575426
182	0.3739122654
183	0.3732487884
184	0.3727618935
185	0.3719937512
186	0.3712576183
187	0.3704835945
188	0.3700698599
189	0.3696284649
190	0.3687338342
191	0.3682658918
192	0.3678836036
193	0.3674990933
194	0.3670103637
195	0.3664669788
196	0.3655590872
197	0.3649276411
198	0.3641721265
199	0.3633931459
200	0.3628405863
201	0.3621502405
202	0.3615922356
203	0.3606306811
204	0.360487325
205	0.3598053852
206	0.3591888172
207	0.35840856
208	0.3577210117
209	0.3567324051
210	0.3562330777
211	0.3555981594
212	0.3552520245
213	0.3544727039
214	0.3540465746
215	0.3536789522
216	0.3532981447
217	0.3527353754
218	0.3523008104
219	0.3519354256
220	0.3513672347
221	0.3508941416
222	0.3502539078
223	0.3494781325
224	0.3490299586
225	0.3484202111
226	0.3482142423
227	0.3477944299
228	0.3469400184
229	0.3461735844
230	0.3457701991
231	0.3455864291
232	0.3448830903
233	0.3442075363
234	0.343866757
235	0.3431492792
236	0.3429152986
237	0.3425422429
238	0.342098776
239	0.341380706
240	0.3410107365
241	0.3404139099
242	0.3398698147
243	0.3392863964
244	0.3386573107
245	0.3382112082
246	0.337939516
247	0.3374894303
248	0.3369973902
249	0.3362636828
250	0.3357252145
251	0.335373587
252	0.3348207619
253	0.3346111652
254	0.3342085363
255	0.3335396259
256	0.3332518604
257	0.3329467613
258	0.332603558
259	0.3320247265
260	0.3317915908
261	0.3315972037
262	0.33087051
263	0.330401201
264	0.3298815412
265	0.3292745141
266	0.3287245977
267	0.3282841028
268	0.3279429073
269	0.3273607981
270	0.3268523778
271	0.3264421339
272	0.3258495159
273	0.3251538785
274	0.32459477
275	0.3241622545
276	0.3237401451
277	0.3234303569
278	0.3231282483
279	0.322748368
280	0.3221082283
281	0.3216750066
282	0.3210918723
283	0.320839343
284	0.3200719111
285	0.3197325233
286	0.3192843046
287	0.3188317683
288	0.3179716241
289	0.3177600418
290	0.3172689757
291	0.3166713101
292	0.3164013498
293	0.315987978
294	0.3153522104
295	0.3151262055
296	0.3148361443
297	0.3144468867
298	0.3138433704
299	0.3133447377
300	0.3128985268
301	0.3126833994
302	0.3124809349
303	0.3119400243
304	0.3114512921
305	0.3107995186
306	0.3101360772
307	0.3097844988
308	0.3091999689
309	0.3088258479
310	0.3087461724
311	0.3084822555
312	0.3078940216
313	0.307426068
314	0.3070784737
315	0.3069248888
316	0.306545591
317	0.3062616823
318	0.3055608429
319	0.3052596173
320	0.3050054847
321	0.3045073263
322	0.3040261967
323	0.3036396788
324	0.3033734838
325	0.303111992
326	0.3026872837
327	0.3024124256
328	0.3021053885
329	0.3018102738
330	0.3016583943
331	0.3015123958
332	0.3011748604
333	0.3010396062
334	0.3008601951
335	0.3005167381
336	0.3002168017
337	0.2995824423
338	0.2994588288
339	0.29912134
340	0.2987212063
341	0.2984110054
342	0.2980448113
343	0.2974611804
344	0.2970199874
345	0.2964811067
346	0.2958353082
347	0.2953365517
348	0.2950523222
349	0.294608216
350	0.294322818
351	0.2939457258
352	0.2935151231
353	0.2932224633
354	0.2928888817
355	0.2924451612
356	0.2921879709
357	0.2917075808
358	0.2912458532
359	0.2910052389
360	0.290691899
361	0.2902196127
362	0.2900328059
363	0.2898723092
364	0.289302987
365	0.2890548297
366	0.2886524917
367	0.288482189
368	0.2883730158
369	0.2880145614
370	0.2875066061
371	0.2869402439
372	0.2864923994
373	0.2860810013
374	0.2855280749
375	0.2852675133
376	0.2848023503
377	0.2846452635
378	0.2844755784
379	0.284119908
380	0.2838124606
381	0.2834760975
382	0.2832086558
383	0.2828376684
384	0.2822192116
385	0.2820209854
386	0.281685755
387	0.2812912797
388	0.2809973554
389	0.2806787913
390	0.2799902923
391	0.2798154058
392	0.2794407359
393	0.2790265428
394	0.2784657831
395	0.2781941483
396	0.2779562518
397	0.2777331558
398	0.2773226563
399	0.2769748572
400	0.2767112532
401	0.2764794146
402	0.2763084056
403	0.2758662283
404	0.275673434
405	0.2753198242
406	0.2748902681
407	0.274565162
408	0.2744011371
409	0.274173514
410	0.2737720486
411	0.2732379032
412	0.2730539478
413	0.2728261817
414	0.2725572877
415	0.2719531419
416	0.271707316
417	0.2715832192
418	0.2712909876
419	0.2709371205
420	0.2706798305
421	0.2705388452
422	0.2701233724
423	0.2696973029
424	0.2694090382
425	0.2690556372
426	0.2689236594
427	0.2686096695
428	0.2684044026
429	0.2681214743
430	0.2679426819
431	0.2675701672
432	0.2672500138
433	0.2671038828
434	0.2669717968
435	0.2667223648
436	0.266360096
437	0.2662323306
438	0.26601394
439	0.2659217023
440	0.2654880061
441	0.2650108064
442	0.2647945846
443	0.264523397
444	0.2642449949
445	0.2640777654
446	0.263951787
447	0.2637031789
448	0.2635111087
449	0.2631269482
450	0.2626983174
451	0.262315975
452	0.2617718086
453	0.2616419056
454	0.2613292008
455	0.260990886
456	0.2607990097
457	0.2605930338
458	0.2604060448
459	0.2601933899
460	0.2598440613
461	0.2597314431
462	0.2596387134
463	0.2590570756
464	0.2587802281
465	0.2585357794
466	0.258260919
467	0.2580122121
468	0.2579382252
469	0.2576459228
470	0.2574278863
471	0.2568495921
472	0.2566012278
473	0.2563917619
474	0.2560741177
475	0.2558967169
476	0.2555775447
477	0.2554467105
478	0.2553124465
479	0.2548363742
480	0.2546717681
481	0.2543040641
482	0.2540496885
483	0.2537126497
484	0.2532949003
485	0.2529142399
486	0.2527498353
487	0.2524425148
488	0.251976813
489	0.2517766064
490	0.2514509614
491	0.2511628557
492	0.2509311479
493	0.250892915
494	0.2505679692
495	0.2502133464
496	0.2501724433
497	0.2499732129
498	0.2498623271
499	0.2493868644
500	0.2492254498
501	0.2490290175
502	0.2486488262
503	0.2482101106
504	0.2479820166
505	0.2477326151
506	0.2475833009
507	0.2472767388
508	0.2469956126
509	0.2466560322
510	0.2465211849
511	0.2464255592
512	0.2463021879
513	0.2460826942
514	0.2459833093
515	0.2457670199
516	0.2455435564
517	0.2452704943
518	0.2451354376
519	0.2447812312
520	0.2444905008
521	0.2440567862
522	0.2438017649
523	0.2434849187
524	0.2432361833
525	0.2430963235
526	0.2429722044
527	0.2425375528
528	0.2422511934
529	0.2419898082
530	0.2417176924
531	0.2414447464
532	0.2411347803
533	0.2409861753
534	0.2405481613
535	0.2402602845
